City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,zhaqsy,51.9083,67.3133,12.83,63,99,0.93,KZ,1694886662
289,kampene,-3.6,26.6667,21.08,85,100,1.14,CD,1694886662
290,sovetskaya gavan',48.9723,140.2878,10.58,67,7,1.72,RU,1694886663
291,marquette,46.5333,-87.6335,17.69,77,12,0.45,US,1694886663
292,princeville,45.7668,-61.2985,23.28,93,100,9.26,CA,1694886663
293,banff,51.1762,-115.5698,16.57,44,5,3.09,CA,1694886664
294,plaza huincul,-38.926,-69.2086,14.52,10,29,6.71,AR,1694886664
295,nishifukuma,33.7667,130.4667,27.0,90,100,2.14,JP,1694886664
296,nar'yan-mar,67.6713,53.087,4.53,80,93,1.25,RU,1694886664
297,oltinko'l,40.8011,72.1634,21.92,32,61,0.75,UZ,1694886664
298,burutu,5.3509,5.5076,25.88,85,98,3.04,NG,1694886665
299,ad dabbah,18.05,30.95,35.01,15,18,5.0,SD,1694886665
300,uturoa,-16.7333,-151.4333,25.6,80,81,7.48,PF,1694886665
301,minas de marcona,-15.2119,-75.1103,19.88,58,80,4.14,PE,1694886665
302,launceston,-41.45,147.1667,11.0,66,30,6.69,AU,1694886665
303,udachny,66.4167,112.4,3.03,59,100,5.66,RU,1694886666
304,siauliai,55.9333,23.3167,12.01,76,0,3.09,LT,1694886666
305,bastia,42.6667,9.3333,25.89,92,75,4.12,FR,1694886504
306,chunskiy,56.0815,99.6342,8.52,76,7,1.13,RU,1694886666
307,dalandzadgad,43.5708,104.425,12.53,31,26,4.34,MN,1694886666
308,san antonio de pale,-1.4014,5.6325,24.56,84,45,5.57,GQ,1694886666
309,xucheng,20.35,110.1288,26.0,90,100,3.3,CN,1694886667
310,longboat key,27.4125,-82.659,34.6,46,75,0.0,US,1694886667
311,wanning,18.8003,110.3967,26.52,89,100,0.63,CN,1694886667
312,lebu,-37.6167,-73.65,10.72,76,50,6.6,CL,1694886668
313,weno,7.4515,151.8468,25.97,89,100,0.0,FM,1694886668
314,andirin,37.5776,36.3549,18.21,36,0,1.28,TR,1694886668
315,talata mafara,12.5732,6.0597,31.12,52,99,1.42,NG,1694886669
316,antsiranana,-12.2787,49.2917,23.4,80,8,7.01,MG,1694886669
317,bismarck,46.8083,-100.7837,18.14,66,0,3.6,US,1694886385
318,paulo afonso,-9.4061,-38.2147,34.32,28,10,7.03,BR,1694886669
319,piacabucu,-10.4056,-36.4344,27.38,62,50,4.93,BR,1694886669
320,baharly,38.4362,57.4316,23.49,26,0,1.56,TM,1694886670
321,zhalantun,48.0,122.7167,11.64,60,99,0.78,CN,1694886670
322,cide,41.8921,33.0044,19.9,80,3,4.56,TR,1694886670
323,kavaratti,10.5669,72.642,27.53,81,100,3.98,IN,1694886670
324,erdenet,49.0333,104.0833,5.67,91,100,2.54,MN,1694886584
325,karratha,-20.7377,116.8463,25.13,42,1,2.6,AU,1694886670
326,ormara,25.2088,64.6357,26.6,89,62,5.31,PK,1694886671
327,itoman,26.1247,127.6694,28.21,89,96,1.54,JP,1694886671
328,ellsworth,44.5434,-68.4195,16.05,94,100,8.23,US,1694886495
329,wailua homesteads,22.0669,-159.378,25.97,87,0,3.6,US,1694886671
330,pangody,65.85,74.4859,8.61,74,100,4.37,RU,1694886671
331,punta cana,18.5818,-68.4043,30.87,70,40,4.12,DO,1694886671
332,mammoth lakes,37.6485,-118.9721,18.4,36,0,3.6,US,1694886497
333,beau vallon,-20.4189,57.6953,24.01,78,75,5.66,MU,1694886672
334,howrah,22.5892,88.3103,29.0,89,40,4.12,IN,1694886672
